Entity Type,Word,Count
MISC,Mid - Autumn Festival,350
MISC,Mid,280
MISC,Autumn Festival,280
MISC,Greek,210
MISC,F - 35B,140
MISC,F - 35,140
MISC,Saudi Arabia Peace Initiative,107
MISC,Mediterranean,107
MISC,Hamas,106
MISC,Daniel,105
MISC,Islamic,75
MISC,Kaparot,70
MISC,Yom Kippur,70
MISC,Jewish Day of Atonement,70
MISC,BRI,41
MISC,Cold War,38
MISC,Ultra - Orthodox Jew,36
MISC,Global Community of S,35
MISC,Future,35
MISC,Ultra Orthodox Jews,35
MISC,Frankenstein,35
MISC,Lightning II,35
MISC,Japanese,35
MISC,FA,35
MISC,Libyan,35
MISC,Eurasian,35
MISC,BC,35
MISC,Greeks,35
MISC,Elements,35
MISC,Zhang Yi,35
MISC,Rai,35
MISC,Ramadan,17
MISC,Israeli,16
MISC,Jewish,11
MISC,Palestinian Islamic,10
MISC,Jewish Holocaust,10
MISC,Saudi,8
MISC,Dragon Boat Festival,8
MISC,Holocaust,8
MISC,Roman,7
LOC,China,1450
LOC,Palestine,1087
LOC,Israel,918
LOC,US,427
LOC,Saudi Arabia,396
LOC,Gaza,391
LOC,Libya,317
LOC,West Bank,215
LOC,Tel Aviv,185
LOC,South Carolina,175
LOC,China Cultural Center,152
LOC,Ramallah,142
LOC,Ain Al - Helweh Palestine,140
LOC,Jerusalem,129
LOC,Greece,105
LOC,Louisiana,70
LOC,Sidon,70
LOC,Mount Lebanon Governorate,70
LOC,Lebaon,70
LOC,Middle East,70
LOC,Iran,50
LOC,France,42
LOC,Russia,42
LOC,Lebanon,38
LOC,India,37
LOC,Hanoi,35
LOC,Vietnam,35
LOC,Riga,35
LOC,Latvia,35
LOC,Beit Shemesh,35
LOC,Bnei Brak,35
LOC,Williamsburg County,35
LOC,Joint Base Charleston,35
LOC,Beaufort,35
LOC,Japansor,35
LOC,West Florida,35
LOC,Nebraska,35
LOC,North Platte,35
LOC,Ain Al - Helweh,35
LOC,Chongqing,35
ORG,Xinhua,617
ORG,UN,170
ORG,Health Ministry,117
ORG,Global Times,117
ORG,Fatah Movement,71
ORG,US Marine Corps,70
ORG,Marine Corps,70
ORG,Marines,70
ORG,Union Pacific Railroad,70
ORG,Center of China and,70
ORG,Ancient Civilizations,70
ORG,Foreign Ministry,48
ORG,Saudi Arabia League,40
ORG,Air Force,36
ORG,Confucius Institute,35
ORG,University of Latvia,35
ORG,WAFA,35
ORG,US Air Force,35
ORG,US Navy,35
ORG,Marine Corps Air,35
ORG,Self,35
ORG,Defense Force,35
ORG,Hon,35
ORG,US Air Force FA,35
ORG,Fighter Squadron,35
ORG,E,35
ORG,North Platte Volunteer Fire Department,35
ORG,DailyMail,35
ORG,com,35
ORG,Union Pacific,35
ORG,Daily Mail,35
ORG,Associated Press,35
ORG,University of Athens,35
ORG,Palestinian Islamic Jihad,29
ORG,NATO,26
ORG,Hamas,20
ORG,IDF,19
ORG,NATO Plus,16
ORG,SCO,11
ORG,UN Interim Force in Lebanon,9
PER,Al - Sudairi,350
PER,Sudairi,210
PER,Naif bin Bandar Al,140
PER,Ahmad al - Deek,105
PER,Stelios Virvidakis,105
PER,Xi Jinping,101
PER,Mahmoud Abbas,85
PER,Li Haidong,73
PER,Chen Junqing,71
PER,Abu Mahdi,70
PER,Chen Jun,38
PER,Hu Jiali,35
PER,Janis,35
PER,Ashraf Abu Mahdi,35
PER,Sputnik,35
PER,Euclid,35
PER,Plato,35
PER,Aristotle,35
PER,Wang Wenbin,16
PER,Joe Biden,11
PER,Edward Snowden,11
PER,Xu Tongtong,8
PER,Benjamin Netanyahu,8
PER,Jack Ma Yun,8
PER,Rizek Abdel Jawad,7
PER,George Santos,7
PER,Recep Tayyip Erdogan,6
PER,Shu Yong,5
PER,Gil Cohen,5
PER,Donald Trump,5
PER,Antony Blinken,5
PER,Sun Degang,4
PER,Qin Gang,4
PER,Lloyd Austin,4
PER,Jack Teixeira,4
PER,Zhang Kai,4
PER,Zhou Rong,3
PER,Abdelmadjid Tebboune,3
PER,Xi Jin,3
PER,Ami Eshed,3
